sekul	1547
punapa-punapa	1546
wuku	1546
sakala	1545
sakalihan	1545
anuju	1544
ngabekti	1543
mabur	1543
begja	1541
loji	1541
jero	1540
asung	1539
samekta	1538
kasoran	1538
sukma	1537
sinebut	1536
madiun	1536
risak	1535
rena	1530
ngungsi	1529
kasaru	1529
widadari	1525
antarane	1520
biru	1519
kadhiri	1519
papa	1517
maju	1516
piyambak-piyambak	1516
jipang	1516
kadulu	1511
anenggih	1510
sudagar	1510
lega	1508
ngudi	1507
dawa	1506
wulu	1506
miyarsi	1506
bahasa-dan-budaya	1504
kiyi	1504
liring	1503
katiga	1503
olehe	1503
upaminipun	1501
bangkit	1499
netepi	1498
kursi	1498
denya	1497
gong	1497
dhistrik	1496
rebut	1494
mujudake	1494
prasamya	1493
bakda	1493
lyan	1492
nendra	1492
among	1491
surak	1491
andangu	1490
parlu	1489
wanara	1489
animbali	1489
durjana	1488
bodho	1485
sung	1485
kacang	1485
sinom	1484
bangsaning	1483
turut	1480
janmi	1479
luhung	1479
z	1479
dasamuka	1476
sa	1475
limrahipun	1474
kulawirya	1472
tinilar	1470
eropah	1470
sungkawa	1469
diwasa	1469
mata	1467
musa	1466
kapurih	1466
tut	1464
sepur	1464
lelampahanipun	1464
jejuluk	1462
sadalu	1461
maesa	1461
ayun	1460
pracaya	1458
katemu	1457
ibrahim	1457
lepat	1456
tekeng	1455
pa	1454
sare	1451
bendara	1450
sajak	1447
mudhun	1445
tumungkul	1443
yu	1440
adiningrat	1440
meneng	1440
tumrapipun	1439
gelar	1438
maharaja	1436
pados	1435
bebaya	1434
g	1434
lestari	1433
wara	1433
cekap	1433
upacara	1433
bu	1432
pinten-pinten	1432
wor	1432
adus	1431
sasaminipun	1429
tampa	1429
abot	1428
wotsari	1426
nayaka	1424
kuwat	1422
pitutur	1422
sega	1422
naranata	1422
sayah	1421
saengga	1421
kawedalaken	1421
samono	1420
krasa	1419
sadina	1418
ijo	1418
kahanan	1416
yasa	1415
tiongkok	1415
tirta	1414
lingira	1414
kawasa	1409
kinten-kinten	1408
mangkunagaran	1407
woh	1405
campuh	1405
tuku	1404
patrap	1402
nyana	1402
pari	1402
laras	1401
kurawa	1401
ron	1401
medayin	1401
wilujeng	1399
sagara	1396
gaib	1395
unggul	1395
rad	1395
sadulur	1394
sembada	1394
anglakoni	1393
wilis	1393
sasat	1392
pesthi	1390
juragan	1390
masthi	1389
dhadha	1388
sawah	1386
cocog	1386
ngalam	1385
munya	1385
lire	1382
apik	1382
gerah	1381
yogya	1380
estu	1380
timbalan	1380
tinon	1379
andherek	1379
sangsara	1378
wang	1377
panggalihipun	1377
kendhang	1377
jabang	1376
karsanira	1373
ngisa	1373
swarane	1372
nugraha	1372
kawrat	1369
mandura	1369
cebolang	1365
lha	1364
gentos	1364
anjog	1363
temahan	1361
ayo	1361
wulang	1361
apatih	1361
babarpisan	1361
dulu	1360
ma	1360
ngagem	1360
nusul	1360
sakeca	1359
kuciwa	1358
katut	1357
ngajak	1356
sakawit	1356
dhawuhing	1355
tulung	1355
niyat	1354
ayam	1348
tegal	1348
lelakon	1347
mindhak	1346
sawuse	1343
nglampahi	1343
ngamarta	1341
jilid	1340
pabrik	1336
slamet	1335
isin	1335
amiyarsa	1333
bantheng	1332
singgih	1330
pakaryan	1330
nonah	1330
dadia	1329
pat	1328
namaning	1326
baladewa	1326
truk	1326
nepsu	1325
weneh	1324
wingi	1322
jebul	1322
matura	1321
kapatihan	1321
mili	1320
sareh	1320
ratuning	1320
pangageng	1318
biyang	1317
rukun	1316
ngungkuli	1315
wanadri	1314
tutug	1314
kepriye	1314
sabin	1314
warti	1312
ponang	1310
mlaku	1309
sajawining	1308
tinimbalan	1308
sesaji	1308
samangsa	1306
palastra	1305
tumbak	1305
umiring	1304
nduweni	1303
mimis	1303
arja	1302
sajatosipun	1302
waspada	1299
manca	1299
mripat	1298
kapengin	1298
ngiras	1297
wartos	1296
kangmas	1296
ewah	1295
lakuning	1294
tetulung	1294
kaji	1293
bau	1292
adangu	1292
asal	1291
tutur	1291
pilih	1291
turira	1291
bojo	1290
ambek	1289
sarehne	1288
panuwun	1287
garwane	1287
nut	1287
bawana	1286
pager	1286
bayu	1286
benang	1285
banten	1284
enak	1284
samarang	1284
ngetan	1279
pinten	1279
jakarta	1278
gumantung	1277
kenya	1277
ngrasa	1275
gawa	1274
kaanan	1274
bekel	1273
amit	1272
amesthi	1272
mak	1271
sataun	1271
yektos	1269
rumangsa	1269
amral	1269
lumajeng	1269
naraka	1268
pinarak	1268
lisah	1267
pelog	1267
